region,year,capacity
p10,2010,138.0
p105,2010,289.8
p107,2010,22.7
p11,2010,1.0
p116,2010,100.5
p123,2010,70.0
p131,2010,4.7
p134,2010,91.5
p16,2010,205.8
p2,2010,100.7
p23,2010,311.0
p26,2010,1.5
p29,2010,65.1
p3,2010,146.0
p31,2010,102.4
p34,2010,51.0
p37,2010,221.1
p38,2010,309.0
p41,2010,60.0
p43,2010,368.8
p5,2010,159.0
p50,2010,350.2
p53,2010,60.5
p63,2010,210.1
p66,2010,511.6
p69,2010,3.0
p7,2010,171.7
p70,2010,3.0
p72,2010,162.0
p75,2010,20.0
p80,2010,138.0
p83,2010,362.0
p84,2010,6.0
p10,2011,953.7
p103,2011,192.0
p11,2011,1.0
p111,2011,341.0
p112,2011,60.0
p116,2011,150.5
p122,2011,41.2
p123,2011,50.0
p127,2011,125.3
p129,2011,40.0
p131,2011,21.1
p134,2011,80.0
p16,2011,266.9
p25,2011,102.0
p28,2011,10.0
p3,2011,198.8
p33,2011,124.15
p34,2011,376.15
p38,2011,172.0
p40,2011,1.5
p41,2011,121.9
p43,2011,506.36
p47,2011,50.4
p5,2011,198.0
p50,2011,200.6
p51,2011,130.0
p57,2011,66.13
p63,2011,246.36
p66,2011,107.81
p68,2011,53.44
p69,2011,79.3
p7,2011,4.2
p70,2011,665.8
p75,2011,162.0
p83,2011,691.7
p10,2012,1941.8
p103,2012,610.2
p105,2012,110.0
p107,2012,90.0
p11,2012,12.7
p112,2012,1.0
p12,2012,150.0
p122,2012,552.8
p126,2012,0.1
p127,2012,234.4
p129,2012,75.0
p130,2012,147.01
p131,2012,40.5
p133,2012,1.5
p134,2012,85.1
p16,2012,293.7
p2,2012,160.3
p29,2012,99.2
p3,2012,292.0
p33,2012,71.0
p34,2012,429.0
p35,2012,254.2
p37,2012,255.0
p41,2012,119.9
p43,2012,236.0
p47,2012,27.3
p5,2012,789.0
p50,2012,434.5
p51,2012,883.3
p53,2012,1646.8
p57,2012,258.0
p63,2012,374.8
p66,2012,962.1
p68,2012,30.0
p69,2012,13.0
p7,2012,56.0
p70,2012,681.6
p75,2012,4.8
p83,2012,782.8
p103,2013,175.1
p111,2013,3.4
p127,2013,94.4
p34,2013,33.1
p41,2013,74.8
p53,2013,249.8
p57,2013,150.0
p70,2013,44.6
p10,2014,229.0
p103,2014,368.2
p107,2014,200.0
p11,2014,1.0
p123,2014,40.0
p127,2014,16.2
p134,2014,8.5
p2,2014,20.8
p3,2014,246.0
p31,2014,9.9
p33,2014,62.6
p34,2014,200.6
p35,2014,19.7
p38,2014,19.5
p41,2014,275.6
p43,2014,50.0
p47,2014,24.9
p50,2014,398.0
p51,2014,248.6
p57,2014,568.26
p63,2014,345.4
p66,2014,1065.9
p69,2014,138.6
p70,2014,369.6
p10,2015,286.4
p123,2015,30.0
p132,2015,5.0
p134,2015,173.7
p28,2015,30.0
p34,2015,400.0
p37,2015,457.2
p38,2015,174.3
p41,2015,80.2
p43,2015,195.8
p47,2015,250.0
p50,2015,711.4
p51,2015,510.5
p53,2015,599.8
p57,2015,1481.4
p63,2015,412.1
p66,2015,1396.5
p67,2015,128.8
p69,2015,383.6
p70,2015,240.7
p83,2015,273.0
p103,2016,79.4
p107,2016,150.0
p112,2016,100.8
p116,2016,103.0
p122,2016,38.3
p127,2016,77.7
p130,2016,12.1
p131,2016,7.9
p133,2016,6.0
p134,2016,286.0
p23,2016,80.0
p25,2016,62.1
p26,2016,1.7
p34,2016,60.8
p35,2016,25.0
p37,2016,594.2
p41,2016,437.5
p43,2016,291.0
p47,2016,50.0
p5,2016,10.0
p50,2016,1053.9
p51,2016,586.8
p53,2016,879.3
p57,2016,1489.4
p66,2016,1027.0
p69,2016,122.6
p70,2016,483.7
p72,2016,195.8
p83,2016,184.0
p98,2016,208.0
p10,2017,190.9
p103,2017,249.0
p105,2017,119.7
p107,2017,100.0
p11,2017,1.9
p112,2017,66.0
p129,2017,30.0
p134,2017,22.8
p31,2017,53.7
p34,2017,75.0
p37,2017,249.3
p41,2017,98.3
p43,2017,200.0
p47,2017,598.5
p5,2017,10.0
p50,2017,452.3
p51,2017,398.4
p53,2017,658.8
p57,2017,792.0
p63,2017,199.7
p66,2017,1129.4
p69,2017,15.0
p7,2017,40.0
p70,2017,184.4
p72,2017,300.0
p75,2017,98.0
p83,2017,278.1
p10,2018,195.3
p103,2018,44.0
p105,2018,80.4
p107,2018,120.0
p11,2018,6.5
p111,2018,103.0
p112,2018,1.5
p127,2018,158.3
p31,2018,50.9
p33,2018,270.0
p34,2018,312.3
p35,2018,114.4
p37,2018,148.0
p38,2018,40.0
p41,2018,560.0
p43,2018,46.6
p50,2018,342.6
p51,2018,233.3
p53,2018,542.8
p57,2018,846.7
p63,2018,150.0
p66,2018,887.8
p70,2018,1281.7
p83,2018,516.0
p10,2019,132.9
p103,2019,285.2
p122,2019,90.0
p130,2019,28.8
p131,2019,9.6
p133,2019,21.0
p34,2019,59.4
p37,2019,306.7
p38,2019,497.5
p41,2019,162.5
p43,2019,100.0
p47,2019,220.5
p50,2019,100.0
p53,2019,474.9
p57,2019,909.8
p66,2019,2685.8
p7,2019,200.0
p70,2019,1476.8
p83,2019,399.5
p103,2020,448.6
p105,2020,398.6
p107,2020,232.0
p111,2020,125.1
p116,2020,56.2
p134,2020,72.6
p23,2020,287.9
p24,2020,773.3
p29,2020,350.0
p3,2020,280.8
p33,2020,242.1
p34,2020,705.7
p35,2020,80.0
p37,2020,499.4
p38,2020,765.9
p41,2020,395.0
p43,2020,462.1
p47,2020,90.0
p5,2020,200.0
p50,2020,815.7
p51,2020,334.4
p53,2020,894.7
p57,2020,550.0
p63,2020,340.7
p66,2020,1157.1
p67,2020,50.4
p69,2020,141.7
p7,2020,140.0
p70,2020,1354.2
p72,2020,625.5
p83,2020,1098.0
p84,2020,374.0
p10,2021,349.8
p103,2021,533.5
p105,2021,500.4
p107,2021,2.0
p111,2021,249.8
p127,2021,203.7
p133,2021,4.5
p134,2021,15.3
p23,2021,503.2
p33,2021,205.0
p34,2021,104.0
p35,2021,239.8
p37,2021,298.8
p38,2021,607.6
p41,2021,385.7
p43,2021,400.0
p47,2021,1708.0
p50,2021,957.1
p51,2021,140.0
p53,2021,1020.6
p57,2021,546.1
p66,2021,3374.2
p67,2021,33.4
p69,2021,54.0
p70,2021,337.9
p72,2021,275.5
p83,2021,580.0
p84,2021,145.6
p10,2022,76.5
p103,2022,72.8
p116,2022,115.0
p134,2022,20.0
p31,2022,145.0
p34,2022,145.0
p35,2022,365.5
p41,2022,603.6
p43,2022,130.0
p5,2022,141.3
p50,2022,1302.2
p53,2022,197.4
p57,2022,209.0
p63,2022,438.2
p66,2022,4230.1
p68,2022,101.9
p7,2022,68.0
p70,2022,677.9
p83,2022,121.3
p10,2023,95.3
p103,2023,337.1
p105,2023,250.0
p107,2023,18.0
p111,2023,3.0
p112,2023,1.5
p122,2023,87.6
p127,2023,556.5
p24,2023,105.7
p29,2023,238.2
p34,2023,199.0
p35,2023,102.8
p38,2023,400.0
p50,2023,651.2
p53,2023,804.6
p57,2023,463.0
p63,2023,84.8
p66,2023,913.0
p68,2023,91.5
p70,2023,424.4
p75,2023,91.6
p80,2023,96.0
p83,2023,743.1
p10,2024,142.5
p103,2024,200.0
p105,2024,200.0
p16,2024,160.0
p23,2024,264.0
p24,2024,770.5
p29,2024,379.0
p35,2024,307.9
p37,2024,198.8
p50,2024,100.0
p51,2024,403.0
p57,2024,1001.0
p63,2024,340.6
p66,2024,1422.7
p70,2024,38.7
p88,2024,184.5
p98,2024,189.0
p10,2025,147.0
p107,2025,200.0
p122,2025,54.9
p127,2025,400.4
p128,2025,156.0
p134,2025,58.8
p23,2025,436.0
p24,2025,554.0
p3,2025,126.0
p35,2025,147.2
p37,2025,450.0
p41,2025,471.3
p43,2025,660.0
p51,2025,147.5
p53,2025,795.8
p57,2025,834.2
p63,2025,316.5
p66,2025,955.5
p7,2025,200.0
p70,2025,252.0
p75,2025,67.2
p80,2025,108.0
p83,2025,346.4
p85,2025,135.0
p111,2026,140.3
p122,2026,109.9
p127,2026,393.2
p16,2026,360.0
p24,2026,504.0
p31,2026,836.4
p37,2026,400.0
p47,2026,2679.0
p50,2026,169.2
p63,2026,180.0
p83,2026,752.5
p85,2026,183.0
p127,2027,12.0
p57,2027,170.0
p23,2029,1044.0
p24,2029,649.8
p24,2030,1303.2
p23,2031,25.5
p24,2031,528.0
